date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:00	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1706374163-ssl-df	https://rose-lily.netlify.app/robots.txt		(from )
02:37:00	79101/79101	---MCZ	200	added ('OK')	text/html	etag:%22757c505bb7ca39c62b2162f1d099533e-ssl-df%22	https://rose-lily.netlify.app/	C:/My%20Web%20Sites/extinctt/rose-lily.netlify.app/index.html	(from )
02:37:00	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1706374163-ssl-df	https://rose-lily.netlify.app/styles/img/ogimage.jpg	C:/My%20Web%20Sites/extinctt/rose-lily.netlify.app/styles/img/ogimage.0.delayed	(from https://rose-lily.netlify.app/)
02:37:01	15603/15603	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2007%20Mar%202024%2010:37:00%20GMT	https://interwebz-cheats.com/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/extinctt/interwebz-cheats.com/favicons/apple-touch-icon.1.delayed	(from https://rose-lily.netlify.app/)
02:37:01	15675/15675	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2007%20Mar%202024%2010:37:01%20GMT	https://interwebz-cheats.com/favicons/favicon-32x32.png	C:/My%20Web%20Sites/extinctt/interwebz-cheats.com/favicons/favicon-32x32.2.delayed	(from https://rose-lily.netlify.app/)
02:37:01	15654/15654	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2007%20Mar%202024%2010:37:01%20GMT	https://interwebz-cheats.com/favicons/favicon-16x16.png	C:/My%20Web%20Sites/extinctt/interwebz-cheats.com/favicons/favicon-16x16.3.delayed	(from https://rose-lily.netlify.app/)
02:37:02	57926/57926	---MCZ	200	added ('OK')	text/css	etag:%227e803dacd8f7c80267876d9e62a0e758-ssl-df%22	https://rose-lily.netlify.app/landing.css	C:/My%20Web%20Sites/extinctt/rose-lily.netlify.app/landing.css	(from https://rose-lily.netlify.app/)
02:37:02	7158/7158	---M-Z	200	added ('OK')	text/css	etag:%2269dc18d54b03bcc640755098e4763973-ssl-df%22	https://rose-lily.netlify.app/rsms.css	C:/My%20Web%20Sites/extinctt/rose-lily.netlify.app/rsms.css	(from https://rose-lily.netlify.app/)
02:37:02	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/extinctt/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://rose-lily.netlify.app/)
02:37:03	11890/11890	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2007%20Mar%202024%2010:37:03%20GMT	https://kit.fontawesome.com/436c17474f.js	C:/My%20Web%20Sites/extinctt/kit.fontawesome.com/436c17474f.js	(from https://rose-lily.netlify.app/)
